Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,ALBANIA,TIRANA,,,,,,57,47,25,53.2%,6,4,7.0%,57,53,4,7.0%
Austria,ALGERIA,ALGIERS,,,,,,"2,315","1,658","1,367",82.4%,2,655,28.3%,"2,315","1,660",655,28.3%
Austria,ARGENTINA,BUENOS AIRES,,,,,,17,17,17,100.0%,,,,17,17,,
Austria,AUSTRALIA,CANBERRA,,,,,,"2,305","2,190",666,30.4%,,115,5.0%,"2,305","2,190",115,5.0%
Austria,AZERBAIJAN,BAKU,,,,,,"1,922","1,737","1,731",99.7%,2,183,9.5%,"1,922","1,739",183,9.5%
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,223,222,221,99.5%,,1,0.4%,223,222,1,0.4%
Austria,BRAZIL,BRASILIA,,,,,,37,37,35,94.6%,,,,37,37,,
Austria,BULGARIA,SOFIA,1,1,1,,,219,210,164,78.1%,,9,4.1%,220,211,9,4.1%
Austria,CANADA,OTTAWA,,,,,,739,718,110,15.3%,,21,2.8%,739,718,21,2.8%
Austria,CHILE,SANTIAGO DE CHILE,,,,,,19,19,16,84.2%,,,,19,19,,
Austria,CHINA,BEIJING,3,2,,1,33.3%,"30,932","30,309","1,317",4.3%,1,622,2.0%,"30,935","30,312",623,2.0%
Austria,CHINA,SHANGHAI,2,2,1,,,"39,016","38,570","3,572",9.3%,,446,1.1%,"39,018","38,572",446,1.1%
Austria,COLOMBIA,BOGOTA,,,,,,5,5,5,100.0%,,,,5,5,,
Austria,CROATIA,ZAGREB,,,,,,271,243,236,97.1%,21,7,2.6%,271,264,7,2.6%
Austria,CUBA,HAVANA,,,,,,502,479,115,24.0%,,23,4.6%,502,479,23,4.6%
Austria,CYPRUS,NICOSIA,,,,,,385,376,280,74.5%,1,8,2.1%,385,377,8,2.1%
Austria,EGYPT,CAIRO,1,,,1,100.0%,"4,388","3,677","1,512",41.1%,17,694,15.8%,"4,389","3,694",695,15.8%
Austria,ETHIOPIA,ADDIS ABEBA,6,6,,,,968,847,230,27.2%,15,106,11.0%,974,868,106,10.9%
Austria,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,,,,,,"1,988",998,973,97.5%,987,3,0.2%,"1,988","1,985",3,0.2%
Austria,GERMANY,MUNICH,,,,,,179,173,171,98.8%,2,4,2.2%,179,175,4,2.2%
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,554,546,85,15.6%,2,6,1.1%,554,548,6,1.1%
Austria,INDIA,NEW DELHI,3,2,2,1,33.3%,"31,045","28,892","28,865",99.9%,24,"2,129",6.9%,"31,048","28,918","2,130",6.9%
Austria,INDONESIA,JAKARTA,,,,,,"5,586","5,554",923,16.6%,,32,0.6%,"5,586","5,554",32,0.6%
Austria,IRAN,TEHERAN,,,,,,"12,149","10,885","1,940",17.8%,132,"1,132",9.3%,"12,149","11,017","1,132",9.3%
Austria,IRELAND,DUBLIN,,,,,,619,618,108,17.5%,,1,0.2%,619,618,1,0.2%
Austria,ISRAEL,TEL AVIV,,,,,,663,600,220,36.7%,7,56,8.4%,663,607,56,8.4%
Austria,JAPAN,TOKYO,,,,,,457,457,41,9.0%,,,,457,457,,
Austria,JORDAN,AMMAN,,,,,,"5,608","4,144","1,959",47.3%,46,"1,418",25.3%,"5,608","4,190","1,418",25.3%
Austria,KAZAKHSTAN,ASTANA,1,1,,,,"5,784","5,604",651,11.6%,,180,3.1%,"5,785","5,605",180,3.1%
Austria,KENYA,NAIROBI,,,,,,"1,288","1,185",149,12.6%,5,98,7.6%,"1,288","1,190",98,7.6%
Austria,KUWAIT,KUWAIT,,,,,,"10,340","9,932","8,906",89.7%,212,196,1.9%,"10,340","10,144",196,1.9%
Austria,LEBANON,BEIRUT,,,,,,"2,920","2,787",546,19.6%,31,102,3.5%,"2,920","2,818",102,3.5%
Austria,MALAYSIA,KUALA LUMPUR,,,,,,583,508,128,25.2%,,75,12.9%,583,508,75,12.9%
Austria,MEXICO,MEXICO CITY,,,,,,53,53,50,94.3%,,,,53,53,,
Austria,MOROCCO,RABAT,,,,,,879,656,341,52.0%,,223,25.4%,879,656,223,25.4%
Austria,NIGERIA,ABUJA,1,,,1,100.0%,"1,522",823,121,14.7%,63,636,41.8%,"1,523",886,637,41.8%
Austria,PAKISTAN,ISLAMABAD,1,,,1,100.0%,"1,101",616,52,8.4%,8,477,43.3%,"1,102",624,478,43.4%
Austria,PERU,LIMA,,,,,,11,11,11,100.0%,,,,11,11,,
Austria,PHILIPPINES,MANILA,,,,,,"3,689","3,532","2,641",74.8%,,157,4.3%,"3,689","3,532",157,4.3%
Austria,ROMANIA,BUCHAREST,1,1,,,,328,313,126,40.3%,2,13,4.0%,329,316,13,4.0%
Austria,RUSSIAN FEDERATION,MOSCOW,7,6,5,1,14.3%,"43,826","43,145","42,676",98.9%,178,503,1.1%,"43,833","43,329",504,1.1%
Austria,SAUDI ARABIA,RIYADH,,,,,,"14,159","11,127","8,080",72.6%,"2,694",338,2.4%,"14,159","13,821",338,2.4%
Austria,SENEGAL,DAKAR,,,,,,815,506,274,54.2%,36,273,33.5%,815,542,273,33.5%
Austria,SERBIA,BELGRADE,,,,,,397,381,304,79.8%,6,10,2.5%,397,387,10,2.5%
Austria,SLOVAKIA,BRATISLAVA,,,,,,64,60,54,90.0%,3,1,1.6%,64,63,1,1.6%
Austria,SLOVENIA,LJUBLJANA,,,,,,39,39,35,89.7%,,,,39,39,,
Austria,SOUTH AFRICA,PRETORIA,,,,,,"7,566","6,690","6,677",99.8%,784,92,1.2%,"7,566","7,474",92,1.2%
Austria,SOUTH KOREA,SEOUL,,,,,,159,154,150,97.4%,,5,3.1%,159,154,5,3.1%
Austria,TAIWAN,TAIPEI,,,,,,103,102,88,86.3%,,1,1.0%,103,102,1,1.0%
Austria,THAILAND,BANGKOK,,,,,,"19,266","19,129","13,818",72.2%,,137,0.7%,"19,266","19,129",137,0.7%
Austria,TUNISIA,TUNIS,1,1,,,,"2,264","1,666",695,41.7%,6,592,26.1%,"2,265","1,673",592,26.1%
Austria,TURKEY,ANKARA,1,1,,,,"7,081","7,022",787,11.2%,4,55,0.8%,"7,082","7,027",55,0.8%
Austria,TURKEY,ISTANBUL,1,1,1,,,"11,926","10,944","7,994",73.0%,7,975,8.2%,"11,927","10,952",975,8.2%
Austria,UKRAINE,KYIV,2,2,1,,,"10,578","10,394","4,363",42.0%,6,178,1.7%,"10,580","10,402",178,1.7%
Austria,UNITED ARAB EMIRATES,ABU DHABI,3,1,1,2,66.7%,"7,330","6,337","2,614",41.2%,62,931,12.7%,"7,333","6,400",933,12.7%
Austria,UNITED KINGDOM,LONDON,2,,,2,100.0%,"3,572","3,336","1,613",48.4%,40,196,5.5%,"3,574","3,376",198,5.5%
Austria,USA,"LOS ANGELES, CA",,,,,,614,593,593,100.0%,,21,3.4%,614,593,21,3.4%
Austria,USA,"NEW YORK, NY",1,1,1,,,990,958,954,99.6%,5,27,2.7%,991,964,27,2.7%
Austria,USA,"WASHINGTON, DC",,,,,,495,492,492,100.0%,1,2,0.4%,495,493,2,0.4%
Austria,VENEZUELA,CARACAS,,,,,,11,9,2,22.2%,,2,18.2%,11,9,2,18.2%
Austria,VIETNAM,HANOI,,,,,,"1,635","1,572",270,17.2%,1,62,3.8%,"1,635","1,573",62,3.8%
Belgium,ALGERIA,ALGIERS,,,,,,"5,665","2,953","1,327",44.9%,200,"2,137",37.7%,"5,665","3,153","2,137",37.7%
Belgium,ANGOLA,LUANDA,,,,,,"2,460",967,346,35.8%,1,"1,521",61.8%,"2,460",968,"1,521",61.8%
Belgium,ARGENTINA,BUENOS AIRES,,,,,,19,18,18,100.0%,,,,19,18,,
Belgium,AUSTRALIA,CANBERRA,,,,,,169,128,34,26.6%,169,128,75.7%,169,297,128,75.7%
Belgium,AUSTRIA,VIENNA,,,,,,1,,,,,,,1,,,
Belgium,BELGIUM,BRUSSELS,,,,,,34,30,11,36.7%,,,,34,30,,
